author;location;citation;latitude;longitude;icon
Stefaniuk Marzena, Gualda Emilio J,...and Kaczmarek Leszek;Nencki Institute, Poland;Stefaniuk, M., Gualda, E., & Pawlowska, M. et al.(2016). Light-sheet microscopy imaging of a whole cleared rat brain with {Thy1-GFP} transgene. Sci. Rep., 28209, 10.1038/srep28209. Retrieved from: http://dx.doi.org/10.1038/srep28209;52.12461;19.300636;star
Pauli Andrea, Norris Megan L,...ander F;Department of Molecular and Cellular Biology, Harvard University, Cambridge, USA;Pauli, A., Norris, M., & Valen, E. et al.(2014). Toddler: an embryonic signal that promotes cell movement via Apelin receptors. Science, 1248636, 10.1126/science.1248636. Retrieved from: http://dx.doi.org/10.1126/science.1248636;42.3751;-71.1056;star
Susaki Etsuo A, Tainaka Kazuki,...and Ueda Hiroki R;Department of Systems Pharmacology, The University of Tokyo, Tokyo, Japan;Susaki, E., Tainaka, K., & Perrin, D. et al.(2015, nov). Advanced {CUBIC} protocols for whole-brain and whole-body clearing and imaging. Nat. Protoc., 1709--1727, Retrieved from: http://dx.doi.org/10.1038/nprot.2015.085;35.68;139.77;star
Galland Remi,...and Sibarita Jean-Baptiste; University of Bordeaux, Bordeaux, France;Galland, R., Grenci, G., & Aravind, A. et al.(2015, jul). {3D} high- and super-resolution imaging using single-objective {SPIM}. Nat. Methods, 641--644, Retrieved from: http://dx.doi.org/10.1038/nmeth.3402;44.806944;-0.6;star
Lemon William C, Pulver Stefan R,...and Keller Philipp J;Howard Hughes Medical Institute, Janelia Research Campus, Ashburn, USA;Lemon, W., Pulver, S., & Höckendorf, B. et al.(2015). Whole-central nervous system functional imaging in larval Drosophila. Nat. Commun., 7924, Retrieved from: http://dx.doi.org/10.1038/ncomms8924;39.0437;-77.4875;star
Can A, Al-Kofahi O,...and Roysam B;Rensselaer Polytechnic Institute, Troy, U;Can, A., Al-Kofahi, O., & Lasek, S. et al.(2003, jul). Attenuation correction in confocal laser microscopes: a novel two-view approach. 67--79, Retrieved from: http://www.ncbi.nlm.nih.gov/pubmed/12839553;42.73;-73.6775;star
Ritter Jörg Gerhard, Veith Roman,...and Kubitscheck Ulrich;Institute of Physical and Theoretical Chemistry, Rheinische Friedrich-Wilhelms Universität, Bonn, Germany;Ritter, J., Veith, R., & Veenendaal, A. et al.(2010). Light sheet microscopy for single molecule tracking in living tissue. PLoS One, e11639, 10.1371/journal.pone.0011639. Retrieved from: http://dx.doi.org/10.1371/journal.pone.0011639;50.727055;7.087376;star
Bhattacharya Dipanjan, Singh Vijay Raj,...and Barbastathis George;Singapore-MIT Alliance for Research and Technology (SMART) Centre, Singapore;Bhattacharya, D., Singh, V., & Zhi, C. et al.(2012). Three dimensional {HiLo-based} structured illumination for a digital scanned laser sheet microscopy ({DSLM}) in thick tissue imaging. Opt. Express, 27337--27347, 10.1364/OE.20.027337. Retrieved from: http://dx.doi.org/10.1364/OE.20.027337;1.297475;103.780318;star
Trivedi Vikas, Truong Thai V,...and Fraser Scott E;Division of Biology and Biological Engineering, California Institute of Technology, Pasadena, USA ;Trivedi, V., Truong, T., & Trinh, L. et al.(2015). Dynamic structure and protein expression of the live embryonic heart captured by 2-photon light sheet microscopy and retrospective registration. Biomed. Opt. Express, 2056--2066, 10.1364/BOE.6.002056. Retrieved from: http://dx.doi.org/10.1364/BOE.6.002056;37.229564;-120.047533;star
Bradl J, Hausmann M,...and Cremer C;Institute of Applied Physics, University of Heidelberg, Germany;Bradl, J., Hausmann, M., & Ehemann, V. et al.(1992, oct). A tilting device for three-dimensional microscopy: application to in situ imaging of interphase cell nuclei. 47--57, Retrieved from: http://www.ncbi.nlm.nih.gov/pubmed/1447754;49.41222;8.71;star
Jemielita Matthew, Taormina Michael J,...and Parthasarathy Raghuveer;Department of Physics, Eugene, OR, USA;Jemielita, M., Taormina, M., & Delaurier, A. et al.(2013, dec). Comparing phototoxicity during the development of a zebrafish craniofacial bone using confocal and light sheet fluorescence microscopy techniques. J. Biophotonics, 920--928, 10.1002/jbio.201200144. Retrieved from: http://dx.doi.org/10.1002/jbio.201200144;44.0505;-123.0951;star
Ritter Jörg G, Veith Roman,...and Kubitscheck Ulrich;Institute of Physical and Theoretical Chemistry, Rheinische-Friedrich-Wilhelms Universität Bonn, Germany;Ritter, J., Veith, R., & Siebrasse, J. et al.(2008). High-contrast single-particle tracking by selective focal plane illumination microscopy. Opt. Express, 7142--7152, Retrieved from: http://www.ncbi.nlm.nih.gov/pubmed/18545417;50.727055;7.087376;star
Pampaloni Francesco, Ansari Nariman, Stelzer Ernst H K;Buchmann Institute for Molecular Life Sciences (BMLS), Goethe Universität Frankfurt am Main, Frankfurt am Main, Germany;Pampaloni, F., Ansari, N., & Stelzer, E.(2013, apr). High-resolution deep imaging of live cellular spheroids with light-sheet-based fluorescence microscopy. Cell Tissue Res., 161--177, Retrieved from: http://dx.doi.org/10.1007/s00441-013-1589-7;50.119444444444;8.6513888888889;star
Pampaloni Francesco, Reynaud Emmanuel G, Stelzer Ernst H K;Francesco Pampaloni, Emmanuel G;Pampaloni, F., Reynaud, E., & Stelzer, E.(2007, oct). The third dimension bridges the gap between cell culture and live tissue. Nat. Rev. Mol. Cell Biol., 839--845, Retrieved from: http://dx.doi.org/10.1038/nrm2236;42.1029;-87.806691;star
Hofman R, Segenhout J M,...and Wit H P;Department of Otorhinolaryngology, University Medical Center Groningen, Groningen, The Netherlands;Hofman, R., Segenhout, J., & Buytaert, J. et al.(2008, feb). Eur. Arch. Otorhinolaryngol., 153--157, 10.1007/s00405-007-0424-8. Retrieved from: http://dx.doi.org/10.1007/s00405-007-0424-8;53.252226;6.720211;star
Chittajallu Deepak R, Florian Stefan,...and Mitchison Timothy J;Department of Cell Biology, Harvard Medical School, Boston, Massachusetts, USA;Chittajallu, D., Florian, S., & Kohler, R. et al.(2015, jun). In vivo cell-cycle profiling in xenograft tumors by quantitative intravital microscopy. Nat. Methods, 577--585, 10.1038/nmeth.3363. Retrieved from: http://dx.doi.org/10.1038/nmeth.3363;42.335743;-71.105138;star
Schröter Tobias J, Johnson Shane B,...and Santi Peter A;Ilmenau University of Technology, Ilmenau, Germany;Schröter, T., Johnson, S., & John, K. et al.(2012). Scanning thin-sheet laser imaging microscopy ({sTSLIM}) with structured illumination and {HiLo} background rejection. Biomed. Opt. Express, 170--177, 10.1364/BOE.3.000170. Retrieved from: http://dx.doi.org/10.1364/BOE.3.000170;50.6817;10.939;star
Dean Kevin M, Roudot Philippe,...and Fiolka Reto;Lyda Hill Department of Bioinformatics, University of Texas Southwestern Medical Center, Dallas, Texas;Dean, K., Roudot, P., & Reis, C. et al.(2016). Diagonally Scanned {Light-Sheet} Microscopy for Fast Volumetric Imaging of Adherent Cells. Biophys. J., 1456--1465, Retrieved from: http://dx.doi.org/10.1016/j.bpj.2016.01.029;32.8126;-96.8384;star
Amat Fernando,...and Keller Philipp J;Howard Hughes Medical Institute, Janelia Research Campus, Ashburn, Virginia, USA;Amat, F., Höckendorf, B., & Wan, Y. et al.(2015, nov). Efficient processing and analysis of large-scale light-sheet microscopy data. Nat. Protoc., 1679--1696, Retrieved from: http://dx.doi.org/10.1038/nprot.2015.111;39.0437;-77.4875;star
Khairy Khaled, Lemon William C,...and Keller Philipp J;Howard Hughes Medical Institute, Janelia Farm Research Campus, Ashburn, VA, USA;Khairy, K., Lemon, W., & Amat, F. et al.(2015). Light sheet-based imaging and analysis of early embryogenesis in the fruit fly. Methods Mol. Biol., 79--97, Retrieved from: http://dx.doi.org/10.1007/978-1-4939-1164-6_6;39.0437;-77.4875;star
Bourgenot Cyril, Saunter Christopher D,...and Love Gordon D;Department of Physics & Biophysical Sciences Institute, Durham University, UK;Bourgenot, C., Saunter, C., & Taylor, J. et al.(2012). {3D} adaptive optics in a light sheet microscope. Opt. Express, 13252--13261, Retrieved from: http://dx.doi.org/10.1364/OE.20.013252;54.237933;-2.36967;star
Cutrale Francesco, Gratton Enrico;Laboratory for Fluorescence Dynamics, Biomedical Engineering Department, University of California, Irvine, California, USA;Cutrale, F., & Gratton, E.(2012, nov). Inclined selective plane illumination microscopy adaptor for conventional microscopes. Microsc. Res. Tech., 1461--1466, 10.1002/jemt.22089. Retrieved from: http://dx.doi.org/10.1002/jemt.22089;33.64535;-117.84264166667;star
Wenzel Carsten, Riefke Björn,...and Steigemann Patrick;Bayer Pharma AG, Global Drug Discovery, Germany;Wenzel, C., Riefke, B., & Gründemann, S. et al.(2014). {3D} high-content screening for the identification of compounds that target cells in dormant tumor spheroid regions. Exp. Cell Res., 131--143, Retrieved from: http://dx.doi.org/10.1016/j.yexcr.2014.01.017;51.133481;10.018343;star
Tomer Raju, Khairy Khaled,...and Keller Philipp J;Howard Hughes Medical Institute, Janelia Farm Research Campus, Ashburn, Virginia, USA;Tomer, R., Khairy, K., & Amat, F. et al.(2012, jul). Quantitative high-speed imaging of entire developing embryos with simultaneous multiview light-sheet microscopy. Nat. Methods, 755--763, Retrieved from: http://dx.doi.org/10.1038/nmeth.2062;39.0437;-77.4875;star
Lei Ming, Zumbusch Andreas;Department of Chemie, University of Konstanz, Germany;Lei, M., & Zumbusch, A.(2010). Structured light sheet fluorescence microscopy based on four beam interference. Opt. Express, 19232--19241, Retrieved from: http://dx.doi.org/10.1364/OE.18.019232;47.690215;9.1881;star
Truong Thai V, Supatto Willy,...and Fraser Scott E;California Institute of Technology, Beckman Institute, Pasadena, CA, USA;Truong, T., Supatto, W., & Koos, D. et al.(2011, sep). Deep and fast live imaging with two-photon scanned light-sheet microscopy. Nat. Methods, 757--760, Retrieved from: http://dx.doi.org/10.1038/nmeth.1652;34.138577;-118.125494;star
Zhao Ziqing W, Roy Rahul,...and Xie X Sunney;Department of Chemistry and Chemical Biology, Harvard University, Cambridge;Zhao, Z., Roy, R., & Gebhardt, J. et al.(2014). Spatial organization of {RNA} polymerase {II} inside a mammalian cell nucleus revealed by reflected light-sheet superresolution microscopy. Proc. Natl. Acad. Sci. U. S. A., 681--686, 10.1073/pnas.1318496111. Retrieved from: http://dx.doi.org/10.1073/pnas.1318496111;42.3751;-71.1056;star
Jährling Nina, Becker Klaus,...and Dodt Hans-Ulrich;Department of Bioelectronics, FKE, Vienna University of Technology Vienna, Austria;Jährling, N., Becker, K., & Schönbauer, C. et al.(2010). Three-dimensional reconstruction and segmentation of intact Drosophila by ultramicroscopy. Front. Syst. Neurosci., 1, 10.3389/neuro.06.001.2010. Retrieved from: http://dx.doi.org/10.3389/neuro.06.001.2010;48.198888888889;16.37;star
Costello John H, Colin Sean P,...and Kelly R;Eugene Bell Center, Marine Biological Laboratory, Woods Hole, USA;Costello, J., Colin, S., & Gemmell, B. et al.(2015). Multi-jet propulsion organized by clonal development in a colonial siphonophore. Nat. Commun., 8158, 10.1038/ncomms9158. Retrieved from: http://dx.doi.org/10.1038/ncomms9158;40.4776;-79.7589;star
Cavey Matthieu, Lecuit Thomas;IBDML, campus de Luminy, Marseille, France;Cavey, M., & Lecuit, T.(2008). Imaging cellular and molecular dynamics in live embryos using fluorescent proteins. Methods Mol. Biol., 219--238, Retrieved from: http://dx.doi.org/10.1007/978-1-59745-583-1_13;43.237163;5.435827;star
Fickentscher Rolf, Struntz Philipp, Weiss Matthias;Experimental Physics I, University of Bayreuth, Bayreuth, Germany;Fickentscher, R., Struntz, P., & Weiss, M.(2013). Mechanical cues in the early embryogenesis of Caenorhabditis elegans. Biophys. J., 1805--1811, 10.1016/j.bpj.2013.09.005. Retrieved from: http://dx.doi.org/10.1016/j.bpj.2013.09.005;49.928847;11.585897;star
Shaw P J, Agard D A,...and Sedat J W;Department of Cell Biology, John Innes Institute, Norwich, United Kingdom;Shaw, P., Agard, D., & Hiraoka, Y. et al.(1989, jan). Tilted view reconstruction in optical microscopy. Three-dimensional reconstruction of Drosophila melanogaster embryo nuclei. Biophys. J., 101--110, 10.1016/S0006-3495(89)82783-3. Retrieved from: http://dx.doi.org/10.1016/S0006-3495(89)82783-3;52.6286;1.2923;star
Silvestri L, Bria A,...and Pavone F S;European Laboratory for Non-Linear Spectroscopy (LENS), University of Florence, Italy;Silvestri, L., Bria, A., & Sacconi, L. et al.(2012). Confocal light sheet microscopy: micron-scale neuroanatomy of the entire mouse brain. Opt. Express, 20582--20598, Retrieved from: http://dx.doi.org/10.1364/OE.20.020582;43.846144;11.374478;star
Huisken Jan, Stainier Didier Y R;Department of Biochemistry and Biophysics, and Cardiovascular Research Institute, University of California, San Francisco, USA;Huisken, J., & Stainier, D.(2009, jun). Selective plane illumination microscopy techniques in developmental biology. Development, 1963--1975, 10.1242/dev.022426. Retrieved from: http://dx.doi.org/10.1242/dev.022426;33.98;-117.34;star
Skupsch Christoph, Brücker Christoph;Hubrecht Institute, KNAW and University Medical Center Utrecht, Cancer Genomics Netherlands, the Netherlands;Skupsch, C., & Brücker, C.(2014). Genome-wide {RNA} Tomography in the zebrafish embryo. Cell, 662--675, Retrieved from: http://dx.doi.org/10.1016/j.cell.2014.09.038;52.118063;5.152941;star
Gao Liang;Department of Chemistry, Stony Brook University, Stony Brook, NY, USA ;Gao, L.(2015). Optimization of the excitation light sheet in selective plane illumination microscopy. Biomed. Opt. Express, 881--890, 10.1364/BOE.6.000881. Retrieved from: http://dx.doi.org/10.1364/BOE.6.000881;40.914224;-73.11623;star
Chung Kwanghun, Deisseroth Karl;Department of Bioengineering, Stanford University, Stanford, California, USA;Chung, K., & Deisseroth, K.(2013, jun). {CLARITY} for mapping the nervous system. Nat. Methods, 508--513, Retrieved from: http://dx.doi.org/10.1038/nmeth.2481;37.43;-122.17;star
Wu Jianglai, Li Jianping, Chan Robert K Y;Department of Physics, Hong Kong Baptist University, Kowloon Tong, Hong Kong SAR, China;Wu, J., Li, J., & Chan, R.(2013). A light sheet based high throughput 3D-imaging flow cytometer for phytoplankton analysis. Opt. Express, 14474--14480, Retrieved from: http://dx.doi.org/10.1364/OE.21.014474;22.334124;114.18262;star
Voie Arne H;Spencer Technologies;Voie, A.(2002, sep). Imaging the intact guinea pig tympanic bulla by orthogonal-plane fluorescence optical sectioning microscopy. Hear. Res., 119--128, Retrieved from: http://www.ncbi.nlm.nih.gov/pubmed/12204356;43.1414;-95.1444;star
Alvers Ashley L, Ryan Sean,...and Bagnat Michel;Department of Cell Biology, Duke University Medical Center, Durham, USA;Alvers, A., Ryan, S., & Scherz, P. et al.(2014, mar). Single continuous lumen formation in the zebrafish gut is mediated by smoothened-dependent tissue remodeling. Development, 1110--1119, 10.1242/dev.100313. Retrieved from: http://dx.doi.org/10.1242/dev.100313;35.976246;-78.960612;star
Arrenberg Aristides B, Stainier Didier Y R,...and Huisken Jan;Department of Physiology, University of California, San Francisco, USA;Arrenberg, A., Stainier, D., & Baier, H. et al.(2010). Optogenetic control of cardiac function. Science, 971--974, Retrieved from: http://dx.doi.org/10.1126/science.1195929;37.883247;-122.306867;star
Holekamp Terrence F, Turaga Diwakar, Holy Timothy E;Department of Anatomy and Neurobiology, Washington University in St;Holekamp, T., Turaga, D., & Holy, T.(2008). Fast three-dimensional fluorescence imaging of activity in neural populations by objective-coupled planar illumination microscopy. Neuron, 661--672, Retrieved from: http://dx.doi.org/10.1016/j.neuron.2008.01.011;23.122237;77.475138;star
Luo Xueting, Salgueiro Yadira,...and Park Kevin K;Miami Project to Cure Paralysis, University of Miami, Miller School of Medicine, Miami, USA;Luo, X., Salgueiro, Y., & Beckerman, S. et al.(2013, sep). Three-dimensional evaluation of retinal ganglion cell axon regeneration and pathfinding in whole mouse tissue after injury. Exp. Neurol., 653--662, 10.1016/j.expneurol.2013.03.001. Retrieved from: http://dx.doi.org/10.1016/j.expneurol.2013.03.001;38.637693;-90.257041;star
Gebhardt J Christof M, Suter David M,...and Xie X Sunney;Department of Chemistry and Chemical Biology, Harvard University, Cambridge, Massachusetts, USA;Gebhardt, J., Suter, D., & Roy, R. et al.(2013, may). Single-molecule imaging of transcription factor binding to {DNA} in live mammalian cells. Nat. Methods, 421--426, 10.1038/nmeth.2411. Retrieved from: http://dx.doi.org/10.1038/nmeth.2411;42.3751;-71.1056;star
Yang Zhengyi, Piksarv Peeter,...and Dholakia Kishan;SUPA, School of Physics and Astronomy, University of St;Yang, Z., Piksarv, P., & Ferrier, D. et al.(2015). Macro-optical trapping for sample confinement in light sheet microscopy. Biomed. Opt. Express, 2778--2785, 10.1364/BOE.6.002778. Retrieved from: http://dx.doi.org/10.1364/BOE.6.002778;53.464108;-2.231489;star
Voie A H, Spelman F A;Center for Bioengineering, University of Washington, USA;Voie, A., & Spelman, F.(1995, sep). Three-dimensional reconstruction of the cochlea from two-dimensional images of optical sections. Comput. Med. Imaging Graph., 377--384, Retrieved from: http://www.ncbi.nlm.nih.gov/pubmed/8734775;31.7955;-94.1791;star
Höckendorf Burkhard, Lavis Luke D, Keller Philipp J;Janelia Research Campus, Howard Hughes Medical Institute, Ashburn, Virginia, USA;Höckendorf, B., Lavis, L., & Keller, P.(2014, nov). Making biology transparent. Nat. Biotechnol., 1104--1105, Retrieved from: http://dx.doi.org/10.1038/nbt.3061;39.0437;-77.4875;star
Taylor Jonathan M, Saunter Christopher D,...and Chaudhry Bill;Durham University, Centre for Advanced Instrumentation, Department of Physics, Durham, United Kingdom;Taylor, J., Saunter, C., & Love, G. et al.(2011, nov). Real-time optical gating for three-dimensional beating heart imaging. J. Biomed. Opt., 116021, Retrieved from: http://dx.doi.org/10.1117/1.3652892;54.78333;-1.56667;star
Scherf Nico, Huisken Jan; Dresden, Germany;Scherf, N., & Huisken, J.(2015, aug). The smart and gentle microscope. Nat. Biotechnol., 815--818, Retrieved from: http://dx.doi.org/10.1038/nbt.3310;51.03333;13.73333;star
Scherf Nico, Huisken Jan;University of Toulouse, Toulouse, France;Scherf, N., & Huisken, J.(2012). Deep and clear optical imaging of thick inhomogeneous samples. PLoS One, e35795, 10.1371/journal.pone.0035795. Retrieved from: http://dx.doi.org/10.1371/journal.pone.0035795;43.604444444444;1.4436111111111;star
Vladimirov Nikita, Mu Yu,...and Ahrens Misha B;Janelia Farm Research Campus, Howard Hughes Medical Institute, Ashburn, Virginia, USA;Vladimirov, N., Mu, Y., & Kawashima, T. et al.(2014, sep). Light-sheet functional imaging in fictively behaving zebrafish. Nat. Methods, 883--884, Retrieved from: http://dx.doi.org/10.1038/nmeth.3040;39.0437;-77.4875;star
Samsonov D, Elsaesser A,...and Morfill G E;Department of Electrical Engineering and Electronics, University of Liverpool, Brownlow Hill, United Kingdom;Samsonov, D., Elsaesser, A., & Edwards, A. et al.(2008, mar). High speed laser tomography system. Rev. Sci. Instrum., 035102, Retrieved from: http://dx.doi.org/10.1063/1.2885683;53.406;-2.967;star
Chhetri Raghav K, Amat Fernand...and Keller Philipp J;Howard Hughes Medical Institute, Janelia Research Campus, Ashburn, Virginia, USA;Chhetri, R., Amat, F., & Wan, Y. et al.(2015, dec). Whole-animal functional and developmental imaging with isotropic spatial resolution. Nat. Methods, 1171--1178, Retrieved from: http://dx.doi.org/10.1038/nmeth.3632;39.0437;-77.4875;star
Krieger Jan W, Singh Anand...and Thorsten;German Cancer Research Center (DKFZ), Heidelberg, Germany;Krieger, J., Singh, A., & Bag, N. et al.(2015, dec). Imaging fluorescence (cross-) correlation spectroscopy in live cells and organisms. Nat. Protoc., 1948--1974, Retrieved from: http://dx.doi.org/10.1038/nprot.2015.100;49.41416667;8.6725;star
Engelbrecht Christoph J, Johnston Richard S,...and Helmchen Fritjof;Dept;Engelbrecht, C., Johnston, R., & Seibel, E. et al.(2008). Ultra-compact fiber-optic two-photon microscope for functional fluorescence imaging in vivo. 5556--5564, Retrieved from: http://www.ncbi.nlm.nih.gov/pubmed/18542658;39.8272;-75.1236;star
Munson Chantilly, Huisken Jan,...and Stainier Didier Y R;Department of Biochemistry and Biophysics, Genetics and Human Genetics, University of California, San Francisco, USA;Munson, C., Huisken, J., & Bit-Avragim, N. et al.(2008). Regulation of neurocoel morphogenesis by Pard6 gamma b. Dev. Biol., 41--54, 10.1016/j.ydbio.2008.08.033. Retrieved from: http://dx.doi.org/10.1016/j.ydbio.2008.08.033;37.229564;-120.047533;star
Santi Peter A, Johnson Shane B,...and Leger James R;Department of Otolaryngology, University of Minnesota, Minneapolis, MN, USA;Santi, P., Johnson, S., & Hillenbrand, M. et al.(2009, apr). Thin-sheet laser imaging microscopy for optical sectioning of thick tissues. Biotechniques, 287--294, 10.2144/000113087. Retrieved from: http://dx.doi.org/10.2144/000113087;44.975277777778;-93.234166666667;star
Müllenbroich M Caroline, Silvestri Ludovico,...and Pavone Francesco S;University of Florence , European Laboratory for Non-Linear Spectroscopy, Italy ;Müllenbroich, M., Silvestri, L., & Onofri, L. et al.(2015, oct). Comprehensive optical and data management infrastructure for high-throughput light-sheet microscopy of whole mouse brains. Neurophotonics, 041404, 10.1117/1.NPh.2.4.041404. Retrieved from: http://dx.doi.org/10.1117/1.NPh.2.4.041404;43.846144;11.374478;star
Santi Peter A;Department of Otolaryngology, University of Minnesota, USA;Santi, P.(2011, feb). Light sheet fluorescence microscopy: a review. J. Histochem. Cytochem., 129--138, 10.1369/0022155410394857. Retrieved from: http://dx.doi.org/10.1369/0022155410394857;44.975277777778;-93.234166666667;star
Laksameethanasan Danai, Brand...and Shorte Spencer L;Laboratory of Computational Engineering, Helsinki University of Technology, Finland;Laksameethanasan, D., Brandt, S., & Engelhardt, P. et al.(2008, feb). A Bayesian reconstruction method for micro-rotation imaging in light microscopy. Microsc. Res. Tech., 158--167, Retrieved from: http://dx.doi.org/10.1002/jemt.20550;60.17333;24.94861;star
Gao Liang, Shao Lin,...and Betzig Eric; Howard Hughes Medical Institute (HHMI), Ashburn, Virginia, USA;Gao, L., Shao, L., & Chen, B. et al.(2014, may). {3D} live fluorescence imaging of cellular dynamics using Bessel beam plane illumination microscopy. Nat. Protoc., 1083--1101, Retrieved from: http://dx.doi.org/10.1038/nprot.2014.087;39.0437;-77.4875;star
Leischner Ulrich, Zieglgänsberger Walter, Dodt Hans-Ulrich;Max Planck Institute of Psychiatry, Munich, Germany;Leischner, U., Zieglgänsberger, W., & Dodt, H.(2009). Resolution of ultramicroscopy and field of view analysis. PLoS One, e5785, 10.1371/journal.pone.0005785. Retrieved from: http://dx.doi.org/10.1371/journal.pone.0005785;48.1399;11.4701;star
Liu Jiandong,...and Stainier Didier Y R;Department of Biochemistry and Biophysics, University of California, San Francisco, USA;Liu, J., Bressan, M., & Hassel, D. et al.(2010, nov). A dual role for {ErbB2} signaling in cardiac trabeculation. Development, 3867--3875, 10.1242/dev.053736. Retrieved from: http://dx.doi.org/10.1242/dev.053736;37.883247;-122.306867;star
Hu Ying S, Zimmerley Maxwell,...and Cang Hu;Waitt Advanced Biophotonics Center, Salk Institute for Biological Studies;Hu, Y., Zimmerley, M., & Li, Y. et al.(2014). Single-molecule super-resolution light-sheet microscopy. Chemphyschem, 577--586, Retrieved from: http://dx.doi.org/10.1002/cphc.201300732;32.887151;-117.246212;star
